   Step   Time    Walltime(s) Profile
 464282  32.4997    90.4910   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇███████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆▆
 499996  34.9997    97.4523   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
 535710  37.4997   104.3908   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
 571424  39.9997   111.3216   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
 607138  42.4997   118.2599   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
 642852  44.9996   125.1898   ▇▇▇▇▇▇▇▇▇▇▇▇███████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 678566  47.4996   132.1224   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
 714280  49.9996   139.0452   ▇▇▇▇▇▇▇▇▇▇███████████████████████████▇▇▇▇▇▇▇▇▇▇▇
 749994  52.4996   145.9683   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
 785708  54.9996   152.9003   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
 821422  57.4995   159.8353   ▇▇▇█████████████████████████████████████████▇▇▇▇
 857136  59.9995   166.7782   ████████████████████████████████████████████████
 892850  62.4995   173.7245   ████████████████████████████████████████████████
 928564  64.9995   180.6810   ████████████████████████████████████████████████
 964278  67.4995   187.6354   ████████████████████████████████████████████████
 999992  69.9994   194.6017   ████████████████████████████████████████████████
1035706  72.4994   201.5591   ████████████████████████████████████████████████
1071420  74.9994   208.5058   ████████████████████████████████████████████████
1107134  77.4994   215.4567   ████████████████████████████████████████████████
1142848  79.9994   222.4190   ████████████████████████████████████████████████
1178562  82.4993   229.3925   ████████████████████████████████████████████████
1214276  84.9993   236.3440   ████████████████████████████████████████████████
1249990  87.4993   243.3135   ████████████████████████████████████████████████
1285704  89.9993   250.2804   ████████████████████████████████████████████████
1321418  92.4993   257.2388   ████████████████████████████████████████████████
1357132  94.9992   264.2105   ████████████████████████████████████████████████
1392846  97.4992   271.1754   ████████████████████████████████████████████████
1428560  99.9992   278.1474   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0009   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  35714   2.5000     5.7748   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇█████▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  71428   5.0000    11.5447   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇█████▇▇▆▆▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁
 107142   7.4999    17.3136   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁
 142856   9.9999    23.0795   ▁▁▂▂▂▂▂▂▃▃▄▄▄▅▅▆▆▇▇▇███████▇▇▇▆▆▅▅▄▄▄▃▃▂▂▂▂▂▂▁▁▁
 178570  12.4999    28.8454   ▂▂▂▂▂▂▃▃▃▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▆▆▅▅▅▄▄▃▃▃▃▂▂▂▂▂▂
 214284  14.9999    34.6115   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999    40.3743   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998    46.1358   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998    51.8986   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998    57.6643   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998    63.4251   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998    69.1887   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
 464282  32.4997    74.9509   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇███████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆▆
 499996  34.9997    80.7148   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
 535710  37.4997    86.5037   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
 571424  39.9997    92.2930   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
 607138  42.4997    98.0724   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
 642852  44.9996   103.8466   ▇▇▇▇▇▇▇▇▇▇▇▇███████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 678566  47.4996   109.6210   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
 714280  49.9996   115.3941   ▇▇▇▇▇▇▇▇▇▇███████████████████████████▇▇▇▇▇▇▇▇▇▇▇
 749994  52.4996   121.1589   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
 785708  54.9996   126.9224   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
 821422  57.4995   132.6884   ▇▇▇█████████████████████████████████████████▇▇▇▇
 857136  59.9995   138.4574   ████████████████████████████████████████████████
 892850  62.4995   144.2223   ████████████████████████████████████████████████
 928564  64.9995   149.9886   ████████████████████████████████████████████████
 964278  67.4995   155.7428   ████████████████████████████████████████████████
 999992  69.9994   161.4958   ████████████████████████████████████████████████
1035706  72.4994   167.2474   ████████████████████████████████████████████████
1071420  74.9994   173.0128   ████████████████████████████████████████████████
1107134  77.4994   178.7755   ████████████████████████████████████████████████
1142848  79.9994   184.5388   ████████████████████████████████████████████████
1178562  82.4993   190.3018   ████████████████████████████████████████████████
1214276  84.9993   196.0627   ████████████████████████████████████████████████
1249990  87.4993   201.8310   ████████████████████████████████████████████████
1285704  89.9993   207.5949   ████████████████████████████████████████████████
1321418  92.4993   213.3605   ████████████████████████████████████████████████
1357132  94.9992   219.1255   ████████████████████████████████████████████████
1392846  97.4992   224.8906   ████████████████████████████████████████████████
1428560  99.9992   230.6553   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0009   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  35714   2.5000     4.9333   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇█████▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  71428   5.0000     9.8736   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇█████▇▇▆▆▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁
 107142   7.4999    14.7972   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁
 142856   9.9999    19.7204   ▁▁▂▂▂▂▂▂▃▃▄▄▄▅▅▆▆▇▇▇███████▇▇▇▆▆▅▅▄▄▄▃▃▂▂▂▂▂▂▁▁▁
 178570  12.4999    24.6607   ▂▂▂▂▂▂▃▃▃▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▆▆▅▅▅▄▄▃▃▃▃▂▂▂▂▂▂
 214284  14.9999    29.6363   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999    34.6064   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998    39.5811   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998    44.5617   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998    49.5311   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998    54.5012   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998    59.4631   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
